user_id,transaction_date,store_id,product_category,sale_amount,price,region,city,age,subscription,status,email,username,raw_timestamp
1081,2024-02-27,1,Furniture,1299.97,461.64,North,Lucknow,23,Standard,,,user1,2024-04-29 16:38:00
1003,2024-10-14,7,Sports,2155.65,1375.17,East,Delhi,28,Standard,,user2@gmail.com,user2,2024-06-21 03:05:00
1048,2024-02-19,12,Furniture,3058.26,2431.03,West,Lucknow,25,Basic,Completed,user3@gmail.com,user3,2024-11-12 11:36:00
1024,2024-12-26,3,Electronics,3340.19,2330.55,North,Hyderabad,24,Basic,Cancelled,user4@gmail.com,user4,2024-03-24 11:22:00
1026,2024-12-09,9,Electronics,3084.74,554.86,South,Bengaluru,47,Basic,Cancelled,user5@gmail.com,user5,2024-10-12 07:43:00
1041,2024-01-29,8,Electronics,4044.72,1233.44,North,Hyderabad,54,Standard,Cancelled,user6@gmail.com,user6,2024-11-25 14:09:00
1033,2024-03-12,8,Sports,2740.99,2253.69,West,Bhubaneswar,43,Basic,Pending,user7@gmail.com,user7,2024-09-09 02:48:00
1006,2024-02-26,5,Clothing,3981.19,1295.37,North,Pune,42,Standard,,user8@gmail.com,user8,2024-01-06 21:46:00
1014,2024-12-15,18,Furniture,3866.13,1053.52,East,Pune,28,Basic,Completed,user9@gmail.com,user9,2024-05-14 16:48:00
1022,2024-09-16,4,Furniture,4224.18,1547.61,South,Bengaluru,41,Premium,Completed,user10@gmail.com,user10,2024-02-27 11:56:00
1039,2024-05-02,2,Clothing,4402.25,2843.5,North,Jaipur,22,Standard,Pending,user11@gmail.com,user11,2024-10-08 05:16:00
1067,2024-11-06,14,Clothing,4651.68,2278.03,South,Chennai,43,Standard,Cancelled,user12@gmail.com,user12,2024-03-02 07:14:00
1008,2024-06-22,1,Sports,2814.22,1785.9,North,Mumbai,58,Premium,Pending,user13@gmail.com,,2024-06-18 02:32:00
1030,2024-05-22,16,Clothing,2742.25,2183.89,West,Hyderabad,48,Basic,Pending,user14@gmail.com,user14,2024-06-30 13:26:00
1059,2024-01-28,4,Electronics,2072.84,1050.94,North,Hyderabad,30,Premium,,user15@gmail.com,user15,2024-08-24 07:55:00
1009,2024-08-14,18,Electronics,347.88,2997.88,North,Mumbai,33,Premium,,user16@gmail.com,user16,2024-07-24 01:10:00
1048,2024-01-02,13,Furniture,4639.94,2366.13,East,Pune,53,Standard,,user17@gmail.com,user17,2024-01-30 18:47:00
1069,2024-02-01,11,Electronics,345.7,1456.53,South,Delhi,50,Premium,Pending,user18@gmail.com,user18,2024-04-30 12:07:00
1072,2024-05-06,19,Sports,294.73,291.85,East,Chennai,31,Standard,Cancelled,user19@gmail.com,user19,2024-12-09 20:19:00
1058,2024-06-10,3,Electronics,2345.6,2995.44,North,Mumbai,52,Premium,Cancelled,user20@gmail.com,user20,2024-02-05 07:23:00
1036,2024-03-21,15,Sports,3547.35,1854.45,North,Lucknow,37,Standard,Completed,user21@gmail.com,user21,2024-02-29 03:47:00
1070,2024-03-20,9,Furniture,3063.67,2166.96,South,Chennai,50,Basic,Cancelled,user22@gmail.com,user22,2024-02-17 20:27:00
1035,2024-01-23,1,Furniture,3878.48,1929.48,East,Bengaluru,46,Standard,,user23@gmail.com,user23,2024-12-19 04:34:00
1004,2024-07-08,19,Sports,825.66,425.96,East,Kolkata,20,Basic,Pending,user24@gmail.com,user24,2024-06-30 17:56:00
1052,2024-11-13,5,Clothing,4336.57,2929.81,South,Pune,19,Premium,Cancelled,user25@gmail.com,user25,2024-12-08 23:51:00
1031,2024-05-16,6,Electronics,1974.45,164.24,West,Hyderabad,30,Basic,Cancelled,user26@gmail.com,user26,2024-04-26 07:01:00
1084,2024-04-08,13,Furniture,1465.15,254.79,East,Kolkata,59,Standard,,user27@gmail.com,user27,2024-06-18 00:07:00
1033,2024-04-01,19,Furniture,287.46,1809.89,East,Kolkata,45,Standard,Completed,user28@gmail.com,user28,2024-05-10 01:45:00
1055,2024-01-01,17,Sports,3465.6,2823.78,South,Kolkata,45,Premium,Cancelled,user29@gmail.com,user29,2024-03-04 23:57:00
1038,2024-09-16,10,Grocery,1698.3,2106.76,South,Hyderabad,44,Standard,,user30@gmail.com,user30,2024-11-11 18:19:00
1051,2024-10-07,1,Furniture,1505.88,1318.17,East,Jaipur,46,Basic,Pending,user31@gmail.com,user31,2024-03-27 21:05:00
1036,2024-09-20,20,Furniture,557.6,2858.4,South,Chennai,32,Premium,Pending,,user32,2024-08-31 19:54:00
1098,2024-02-07,15,Grocery,4442.07,1748.23,West,Jaipur,43,Premium,Pending,user33@gmail.com,,2024-02-24 13:14:00
1022,2024-12-22,17,Grocery,346.07,785.13,North,Jaipur,26,Basic,Cancelled,user34@gmail.com,user34,2024-11-09 23:57:00
1064,2024-08-06,18,Grocery,4496.32,2243.78,West,Jaipur,34,Premium,Cancelled,user35@gmail.com,user35,2024-11-16 07:17:00
1056,2024-02-09,10,Clothing,1431.4,993.14,North,Bengaluru,27,Premium,,user36@gmail.com,user36,2024-02-02 13:26:00
1042,2024-10-04,15,Grocery,405.1,2507.03,West,Bhubaneswar,19,Standard,,user37@gmail.com,user37,2024-06-01 12:54:00
1053,2024-10-02,18,Sports,4499.28,1490.28,East,Pune,49,Premium,,user38@gmail.com,user38,2024-07-26 23:10:00
1059,2024-03-06,20,Sports,232.14,1212.36,North,Mumbai,59,Basic,Pending,user39@gmail.com,user39,2024-05-13 12:20:00
1027,2024-08-20,11,Furniture,3830.03,1168.42,West,Chennai,23,Basic,Completed,user40@gmail.com,user40,2024-06-28 07:41:00
1008,2024-11-29,2,Electronics,4753.1,638.11,North,Bhubaneswar,27,Premium,Pending,user41@gmail.com,user41,2024-04-21 14:44:00
1032,2024-07-07,6,Sports,3075.51,2256.38,North,Bengaluru,37,Premium,Completed,user42@gmail.com,user42,2024-07-11 12:45:00
1025,2024-02-08,19,Clothing,599.32,2328.82,North,Bhubaneswar,20,Basic,,user43@gmail.com,user43,2024-11-27 10:00:00
1053,2024-09-07,4,Grocery,4807.86,1924.98,West,Bengaluru,45,Premium,Cancelled,user44@gmail.com,user44,2024-09-04 14:27:00
1093,2024-10-30,9,Furniture,4273.39,2500.66,North,Chennai,46,Premium,,user45@gmail.com,user45,2024-06-21 00:31:00
1041,2024-04-03,16,Clothing,1838.64,812.14,East,Bhubaneswar,35,Standard,Completed,user46@gmail.com,user46,2024-05-03 23:26:00
1062,2024-10-11,8,Grocery,3264.92,1497.92,North,Mumbai,36,Premium,,user47@gmail.com,user47,2024-10-24 11:30:00
1070,2024-09-28,12,Grocery,4983.49,1673.65,East,Jaipur,35,Basic,Cancelled,user48@gmail.com,user48,2024-06-10 03:47:00
1068,2024-12-19,6,Clothing,1160.28,1478.39,East,Mumbai,30,Basic,Pending,user49@gmail.com,user49,2024-12-28 17:08:00
1035,2024-01-24,2,Sports,1531.47,2835.06,West,Mumbai,18,Standard,Cancelled,user50@gmail.com,user50,2024-04-04 01:16:00
1061,2024-02-28,3,Grocery,2509.56,1752.21,North,Bengaluru,27,Standard,Cancelled,user51@gmail.com,user51,2024-10-12 13:38:00
